,Product Name,Product Price
0,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop","Rs. 55,499"
1,Apple MacBook Air 13-inch M1 256GB - Oliz Store,"Rs. 119,900"
2,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black","Rs. 62,499"
3,"Dell Latitude E5470 I5-6th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen","Rs. 38,989"
4,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black","Rs. 68,499"
5,Dell Celeron 5470 Intel UHD 8/256GB SSD,"Rs. 35,800"
6,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop","Rs. 52,000"
7,"Acer Nitro V 15 i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz","Rs. 135,666"
8,"Dell Latitude 5400 Laptop , Intel Core i5-8265, 8GB RAM ,256GB SSD, 14 inch FHD Windows 10","Rs. 35,000"
9,Acer Swift Go 14 Intel Evo i5 13th Gen 13500H – 16GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 14inch 2.8K OLED ( 2880 x 1800 ) 400nits Display – Backlit Keyboard - Silver,"Rs. 99,999"
10,"Acer Aspire 5 i5 13th Gen | 8GB LPDDR5 | 512GB NVMe SSD | Intel Iris Xe | 15.6"" FHD Display","Rs. 67,999"
11,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11","Rs. 70,550"
12,Acer Aspire 5 i5 12th Gen 8GB Ram 512GB SSD 4GB Rtx 2050 Graphics 15.6 Inch FHD,"Rs. 83,000"
13,"ASUS Vivo Book X1402Z Core i5 12th Gen/8GB RAM/512 GB SSD/14"" FHD Display/Magic Numpad/ Win 11","Rs. 74,470"
14,"Dell Latitude E5400 I5-8th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen","Rs. 45,489"
15,"Acer Nitro V 15 Core i5-13420H 13th Gen/ 16 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 2050 4GB GFX/ Backlit Keyboard/ Win 11","Rs. 99,950"
16,"Acer Nitro V 15 i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 3050 6GB | 15.6"" FHD 144Hz","Rs. 124,999"
17,Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook,"Rs. 44,990"
18,Lenovo V14 Celeron 4Gb Ram 256Gb SSD 14 FHD,"Rs. 33,689"
19,Acer Aspire 3 Ryzen 7 - 5700U  / 16 GB RAM/ 512 GB SSD/15.6 FHD/ AMD Gfx/ Win 11,"Rs. 72,510"
20,Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display,"Rs. 52,349"
21,"ASUS Zephyrus G15 GA503QE / Ryzen 9 5900HS / RTX 3050ti 4GB / 16GB RAM / 1TB SSD / 15.6"" FHD 144hz","Rs. 205,000"
22,Lenovo ideapad Slim 3 i5 13th Gen 8GB RAM 512ssd 15.6 Screen Laptop,"Rs. 70,990"
23,"Asus VivoBook I512th Gen 16GB/512GB/14""inch display/Numpad/Windows 11","Rs. 78,500"
24,HP envy 14 [Intel core- i7 (Gen 1 ) 14th gen 14000H Processor / 16gb RAM / 512 SSD GB / 14′ FHD / X360 Touchscreen / Backlit Keyboard / Natural Silver / Win 11Home],"Rs. 124,999"
25,Acer Predator Triton 300 SE i7 11th Gen RTX 3060 16gb Ram 512gb SSD 144hz 14inch Display,"Rs. 123,589"
26,Dell G15 5530 Intel Core i7 13650HX RTX 4060 8GB Graphics – 16GB DDR5 RAM – 1TB NVMe SSD – 15.6″ FHD 120Hz Display – Windows 11 Home,"Rs. 164,999"
27,Dell Latitude E5470 Notebook (6th Gen) – Intel Core i5-6300U / 2.4GHz / 8GB DDR4 SDRAM / 500GB HDD / Windows 10 Pro 64bit / Keyboard Light / 14.0”,"Rs. 39,500"
28,"Acer Predator Helios 300 / i7 11th Gen / RTX 3060 / 16GB RAM / 1TB SSD /15.6"" QHD 165Hz Display","Rs. 149,489"
29,Dell Wyse 5470 (Intel Celeron Processor | 8GB RAM | 256GB SSD Storage | Intel UHD Graphics | 14″ FHD Display),"Rs. 36,500"
30,"Laptop Lenovo IdeaPad Slim 3 i5-12450H/16GB RAM/512GB SSD/15.6"" FHD","Rs. 69,999"
31,"Dell Inspiron 15 3515 / AMD Ryzen 3 3250U / 4GB / 1TB HDD / Radeon Graphics / 15.6"" FHD","Rs. 63,900"
32,"Asus Vivobook X1404ZA | Intel Core i3 12th Gen 1215U | 8GB RAM | 256GB SSD | 14"" FHD Display | Magic Numpad | Windows 11 Home | Quiet Blue","Rs. 48,999"
33,"Lenovo Thinkbook Gen 4 i5 1235U 12th Gen | 16GB DDR4 RAM | 512GB SSD | 14"" FHD Display | Backlit Keyboard | Finger Print Reader","Rs. 77,999"
34,"Dell Latitude E5300 2 in 1 360 Fold I5-8th Gen | 8 GB RAM | 256 GB SSD | 13.3"" Screen","Rs. 49,999"
35,Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop,"Rs. 99,999"
36,Dell Latitude E7400 Laptop I5-8th Gen 256 GB SSD 8 GB RAM Ultrabook Silver,"Rs. 47,989"
37,Dell Latitude E7490 Laptop I7-8th Gen 256 GB SSD 8 GB RAM Ultrabook,"Rs. 54,990"
38,"Lenovo IdeaPad Slim 3i 2023 15 i3 13Th Gen / 8GB RAM / 256GB / 15.6"" FHD display","Rs. 51,998"
39,"Dell Vostro 3520 Core i5 12th Gen/ 16GB RAM/512 GB SSD/15.6"" FHD/Win 11","Rs. 68,100"
